Navn;Stasjon;Tid(norsk normaltid);Middel av middelvind fra hovedobs. (døgn);Middel av høye vindkastverdier (døgn)
Oslo - Blindern;SN18700;17.04.2014;3.9;8.3
Oslo - Blindern;SN18700;18.04.2014;4.9;9.9
Oslo - Blindern;SN18700;19.04.2014;2.1;4.1
Oslo - Blindern;SN18700;20.04.2014;1.9;3.9
Oslo - Blindern;SN18700;21.04.2014;2.5;4.3
Oslo - Blindern;SN18700;22.04.2014;4.6;7.7
Oslo - Blindern;SN18700;23.04.2014;3.6;7.9
Oslo - Blindern;SN18700;24.04.2014;2.5;4.7
Oslo - Blindern;SN18700;25.04.2014;1.7;3.6
Oslo - Blindern;SN18700;26.04.2014;1.6;3.1
Oslo - Blindern;SN18700;27.04.2014;1.8;3.9
Oslo - Blindern;SN18700;28.04.2014;1.6;3.7
Oslo - Blindern;SN18700;29.04.2014;3.4;6.1
Oslo - Blindern;SN18700;30.04.2014;4;6.8
Oslo - Blindern;SN18700;01.05.2014;4.2;9.3
Oslo - Blindern;SN18700;02.05.2014;2.4;5.8
Oslo - Blindern;SN18700;03.05.2014;3;5.9
Oslo - Blindern;SN18700;04.05.2014;2.8;6.3
Oslo - Blindern;SN18700;05.05.2014;2.8;4.9
Oslo - Blindern;SN18700;06.05.2014;2.2;5.2
Oslo - Blindern;SN18700;07.05.2014;4.4;7.5
Oslo - Blindern;SN18700;08.05.2014;3.7;7
Oslo - Blindern;SN18700;09.05.2014;2.7;5.8
Oslo - Blindern;SN18700;10.05.2014;1.9;4
Oslo - Blindern;SN18700;11.05.2014;3.6;6.4
Oslo - Blindern;SN18700;12.05.2014;3.6;6.7
Oslo - Blindern;SN18700;13.05.2014;3.3;5.9
Oslo - Blindern;SN18700;14.05.2014;4.2;8.2
Oslo - Blindern;SN18700;15.05.2014;2.4;5.7
Oslo - Blindern;SN18700;16.05.2014;2.7;5.3
Oslo - Blindern;SN18700;17.05.2014;2.9;5.8
Oslo - Blindern;SN18700;18.05.2014;1.8;4.3
Oslo - Blindern;SN18700;19.05.2014;2;4.5
Oslo - Blindern;SN18700;20.05.2014;2.5;4.4
Oslo - Blindern;SN18700;21.05.2014;1.9;4.7
Oslo - Blindern;SN18700;22.05.2014;2.4;5.3
Oslo - Blindern;SN18700;23.05.2014;2.6;4.7
Oslo - Blindern;SN18700;24.05.2014;2.1;4.9
Oslo - Blindern;SN18700;25.05.2014;1.3;3.1
Oslo - Blindern;SN18700;26.05.2014;2.6;4.4
Oslo - Blindern;SN18700;27.05.2014;4;8.5
Oslo - Blindern;SN18700;28.05.2014;3.2;7.2
Oslo - Blindern;SN18700;29.05.2014;2.1;4
Oslo - Blindern;SN18700;30.05.2014;4;7.3
Oslo - Blindern;SN18700;31.05.2014;3.2;6.4
Oslo - Blindern;SN18700;01.06.2014;3;6.1
Oslo - Blindern;SN18700;02.06.2014;2;4.1
Oslo - Blindern;SN18700;03.06.2014;2.5;5.3
Oslo - Blindern;SN18700;04.06.2014;2.4;4.7
Oslo - Blindern;SN18700;05.06.2014;3.2;6.9
Oslo - Blindern;SN18700;06.06.2014;2.5;5.6
Oslo - Blindern;SN18700;07.06.2014;1.3;3.5
Oslo - Blindern;SN18700;08.06.2014;2.4;4.8
Oslo - Blindern;SN18700;09.06.2014;2.2;5.5
Oslo - Blindern;SN18700;10.06.2014;2.6;5.3
Oslo - Blindern;SN18700;11.06.2014;3.4;6.7
Oslo - Blindern;SN18700;12.06.2014;3.9;9.2
Oslo - Blindern;SN18700;13.06.2014;4.6;8.9
Oslo - Blindern;SN18700;14.06.2014;3;8.3
Oslo - Blindern;SN18700;15.06.2014;2.5;4.8
Oslo - Blindern;SN18700;16.06.2014;4.5;8.3
Oslo - Blindern;SN18700;17.06.2014;2.4;6
Oslo - Blindern;SN18700;18.06.2014;2.8;6.2
Oslo - Blindern;SN18700;19.06.2014;3.5;6.9
Oslo - Blindern;SN18700;20.06.2014;2.7;6.7
Oslo - Blindern;SN18700;21.06.2014;3.1;6.5
Oslo - Blindern;SN18700;22.06.2014;3.6;8.3
Oslo - Blindern;SN18700;23.06.2014;3.6;8.3
Oslo - Blindern;SN18700;24.06.2014;2.7;5.5
Oslo - Blindern;SN18700;25.06.2014;2.6;5.8
Oslo - Blindern;SN18700;26.06.2014;3.1;5.7
Oslo - Blindern;SN18700;27.06.2014;2.9;5.1
Oslo - Blindern;SN18700;28.06.2014;4.6;8.2
Oslo - Blindern;SN18700;29.06.2014;4.4;8.5
Oslo - Blindern;SN18700;30.06.2014;2.5;5.9
Oslo - Blindern;SN18700;01.07.2014;3.5;6.5
Oslo - Blindern;SN18700;02.07.2014;2.2;4.9
Oslo - Blindern;SN18700;03.07.2014;2.9;6.3
Oslo - Blindern;SN18700;04.07.2014;2.8;6
Oslo - Blindern;SN18700;05.07.2014;2.1;4.3
Oslo - Blindern;SN18700;06.07.2014;2;5.1
Oslo - Blindern;SN18700;07.07.2014;2.3;4.8
Oslo - Blindern;SN18700;08.07.2014;2.9;5
Oslo - Blindern;SN18700;09.07.2014;3.8;7.8
Oslo - Blindern;SN18700;10.07.2014;2.1;4.6
Oslo - Blindern;SN18700;11.07.2014;1.9;3.8
Oslo - Blindern;SN18700;12.07.2014;2;4.4
Oslo - Blindern;SN18700;13.07.2014;4.6;7.4
Oslo - Blindern;SN18700;14.07.2014;2.8;7.3
Oslo - Blindern;SN18700;15.07.2014;2.4;4.9
Oslo - Blindern;SN18700;16.07.2014;2.3;4.7
Oslo - Blindern;SN18700;17.07.2014;2.5;5
Oslo - Blindern;SN18700;18.07.2014;1.6;3.7
Oslo - Blindern;SN18700;19.07.2014;2.1;4.6
Oslo - Blindern;SN18700;20.07.2014;2.9;5.7
Oslo - Blindern;SN18700;21.07.2014;2;4.3
Oslo - Blindern;SN18700;22.07.2014;2;4.2
Oslo - Blindern;SN18700;23.07.2014;1.9;4.2
Oslo - Blindern;SN18700;24.07.2014;1.9;4.4
Oslo - Blindern;SN18700;25.07.2014;1.7;4.2
Oslo - Blindern;SN18700;26.07.2014;2;4.4
Oslo - Blindern;SN18700;27.07.2014;1.8;4.1
Oslo - Blindern;SN18700;28.07.2014;2.2;4.2
Oslo - Blindern;SN18700;29.07.2014;2.9;5.4
Oslo - Blindern;SN18700;30.07.2014;3;6.9
Oslo - Blindern;SN18700;31.07.2014;2.9;6.7
Oslo - Blindern;SN18700;01.08.2014;3.5;7
Oslo - Blindern;SN18700;02.08.2014;1.8;4.6
Oslo - Blindern;SN18700;03.08.2014;2.9;5.6
Oslo - Blindern;SN18700;04.08.2014;1.4;3.5
Oslo - Blindern;SN18700;05.08.2014;1.8;3.5
Oslo - Blindern;SN18700;06.08.2014;2.3;4.3
Oslo - Blindern;SN18700;07.08.2014;2.4;4.7
Oslo - Blindern;SN18700;08.08.2014;2.2;4.5
Oslo - Blindern;SN18700;09.08.2014;3.6;6.1
Oslo - Blindern;SN18700;10.08.2014;3.5;8.9
Oslo - Blindern;SN18700;11.08.2014;4.1;8.2
Oslo - Blindern;SN18700;12.08.2014;3.1;7.5
Oslo - Blindern;SN18700;13.08.2014;2.7;6.3
Oslo - Blindern;SN18700;14.08.2014;2.2;4.1
Oslo - Blindern;SN18700;15.08.2014;2;4.4
Oslo - Blindern;SN18700;16.08.2014;2.3;4.5
Oslo - Blindern;SN18700;17.08.2014;2.5;5.2
Oslo - Blindern;SN18700;18.08.2014;1.5;3.7
Oslo - Blindern;SN18700;19.08.2014;1.8;3.8
Oslo - Blindern;SN18700;20.08.2014;1.4;3.8
Oslo - Blindern;SN18700;21.08.2014;2.1;4.2
Oslo - Blindern;SN18700;22.08.2014;2.6;4.9
Oslo - Blindern;SN18700;23.08.2014;2;3.9
Oslo - Blindern;SN18700;24.08.2014;1.6;3.8
Oslo - Blindern;SN18700;25.08.2014;2.1;4.5
Oslo - Blindern;SN18700;26.08.2014;2.9;5.2
