Navn;Stasjon;Tid(norsk normaltid);Nedbør (døgn);Minimumstemperatur (døgn);Maksimumstemperatur (døgn);Høyeste middelvind (døgn)
Oslo - Blindern;SN18700;27.02.2015;4,2;0,7;4,3;8
Oslo - Blindern;SN18700;28.02.2015;2,2;-2,6;3,6;7,2
Oslo - Blindern;SN18700;01.03.2015;2,4;0,3;3,5;8,3
Oslo - Blindern;SN18700;02.03.2015;8;2,7;6,4;5,7
Oslo - Blindern;SN18700;03.03.2015;1,8;0,6;5,3;4,7
Oslo - Blindern;SN18700;04.03.2015;0,1;-4,8;5,8;4,4
Oslo - Blindern;SN18700;05.03.2015;0;-4,1;4,7;6,3
Oslo - Blindern;SN18700;06.03.2015;0;2,5;9,7;5,6
Oslo - Blindern;SN18700;07.03.2015;0;3,6;7,6;9,5
Oslo - Blindern;SN18700;08.03.2015;0;5,5;8,3;7,4
Oslo - Blindern;SN18700;09.03.2015;0;-0,1;9,3;5,9
Oslo - Blindern;SN18700;10.03.2015;1,2;2,8;13,2;10,9
Oslo - Blindern;SN18700;11.03.2015;0;3,3;10,4;6,2
Oslo - Blindern;SN18700;12.03.2015;0;-0,1;10,4;3,4
Oslo - Blindern;SN18700;13.03.2015;0;-1,4;9,3;3,7
Oslo - Blindern;SN18700;14.03.2015;0;-4,2;9,8;5,4
Oslo - Blindern;SN18700;15.03.2015;0;-0,1;8,8;5,7
Oslo - Blindern;SN18700;16.03.2015;0;3,6;6,4;5
Oslo - Blindern;SN18700;17.03.2015;0;3,1;7,9;5,3
Oslo - Blindern;SN18700;18.03.2015;0;4;6,5;4,7
Oslo - Blindern;SN18700;19.03.2015;2,8;0,5;5;3
Oslo - Blindern;SN18700;20.03.2015;0,9;1,9;6,1;2,9
Oslo - Blindern;SN18700;21.03.2015;1,4;-1,6;4,8;8,5
Oslo - Blindern;SN18700;22.03.2015;0;-3,2;1,5;6,2
Oslo - Blindern;SN18700;23.03.2015;3;1,3;9;6,6
Oslo - Blindern;SN18700;24.03.2015;0;-0,5;11,1;6,2
Oslo - Blindern;SN18700;25.03.2015;0,1;-0,8;6,8;9,5
Oslo - Blindern;SN18700;26.03.2015;10,4;-2,9;1,7;8,9
Oslo - Blindern;SN18700;27.03.2015;18,4;1,3;4,4;3,6
Oslo - Blindern;SN18700;28.03.2015;0,2;-1,1;7,5;6,5
Oslo - Blindern;SN18700;29.03.2015;5,3;1,2;7,6;6,3
Oslo - Blindern;SN18700;30.03.2015;5,3;1,9;7,9;4,9
Oslo - Blindern;SN18700;31.03.2015;0,5;-2,6;8,5;5,3
Oslo - Blindern;SN18700;01.04.2015;0;-2,3;9,7;9
Oslo - Blindern;SN18700;02.04.2015;0;1,8;9,6;8,9
Oslo - Blindern;SN18700;03.04.2015;0;-0,4;10,2;6,7
Oslo - Blindern;SN18700;04.04.2015;0;0,4;9;6,1
Oslo - Blindern;SN18700;05.04.2015;0;-2,1;8;3,6
Oslo - Blindern;SN18700;06.04.2015;0;1,5;10,5;6,2
Oslo - Blindern;SN18700;07.04.2015;0;2,2;14,9;7,1
Oslo - Blindern;SN18700;08.04.2015;0;6,7;12,6;7
Oslo - Blindern;SN18700;09.04.2015;0;0,7;15,5;6,1
Oslo - Blindern;SN18700;10.04.2015;0;4,3;15,4;6,1
Oslo - Blindern;SN18700;11.04.2015;0;3,9;8,6;4,7
Oslo - Blindern;SN18700;12.04.2015;2,4;4,7;12,1;8,6
Oslo - Blindern;SN18700;13.04.2015;0,1;-0,1;11,5;8,1
Oslo - Blindern;SN18700;14.04.2015;0;-0,2;8,2;5,7
Oslo - Blindern;SN18700;15.04.2015;3,3;1;10,8;5,7
Oslo - Blindern;SN18700;16.04.2015;2,3;1,3;11,9;7,9
Oslo - Blindern;SN18700;17.04.2015;0;3,8;12,2;7,3
Oslo - Blindern;SN18700;18.04.2015;0;0,6;14,3;6,9
Oslo - Blindern;SN18700;19.04.2015;0;4,2;18,8;8
Oslo - Blindern;SN18700;20.04.2015;0;4,7;22,8;4,9
Oslo - Blindern;SN18700;21.04.2015;0;5,7;20;6,5
Oslo - Blindern;SN18700;22.04.2015;0;4,2;18,2;7,2
Oslo - Blindern;SN18700;23.04.2015;0;6,9;14,3;8,1
Oslo - Blindern;SN18700;24.04.2015;0;2,2;11;5,3
Oslo - Blindern;SN18700;25.04.2015;0,2;5,5;8,7;6,3
Oslo - Blindern;SN18700;26.04.2015;4,4;0,6;12,6;7,7
Oslo - Blindern;SN18700;27.04.2015;0,1;-0,7;11,6;6,9
Oslo - Blindern;SN18700;28.04.2015;0;-0,7;13,7;5,1
Oslo - Blindern;SN18700;29.04.2015;0;-0,5;10,5;5,6
Oslo - Blindern;SN18700;30.04.2015;4,1;3,3;11,5;5,1
Oslo - Blindern;SN18700;01.05.2015;0,1;2,8;13,1;6,5
Oslo - Blindern;SN18700;02.05.2015;0,1;4,4;12,1;7,3
Oslo - Blindern;SN18700;03.05.2015;0;4,6;14,6;6,2
Oslo - Blindern;SN18700;04.05.2015;0,1;5,5;11;5,9
Oslo - Blindern;SN18700;05.05.2015;5;6;11,2;7
Oslo - Blindern;SN18700;06.05.2015;15;8,9;14,7;7,5
Oslo - Blindern;SN18700;07.05.2015;7,4;6,8;11,9;6,4
Oslo - Blindern;SN18700;08.05.2015;5,2;0,9;14,2;7,7
Oslo - Blindern;SN18700;09.05.2015;0;0,1;13,3;5,9
Oslo - Blindern;SN18700;10.05.2015;15,9;3,2;16,7;7,5
Oslo - Blindern;SN18700;11.05.2015;0,6;4,6;13,8;7,7
Oslo - Blindern;SN18700;12.05.2015;4,3;7,6;11,4;5,6
Oslo - Blindern;SN18700;13.05.2015;3,8;2,3;15,6;6,5
Oslo - Blindern;SN18700;14.05.2015;0,2;3,9;14,7;7
Oslo - Blindern;SN18700;15.05.2015;0;1;16,9;6,8
Oslo - Blindern;SN18700;16.05.2015;0;6,2;11,9;4,9
Oslo - Blindern;SN18700;17.05.2015;11,1;4,2;10,3;8
Oslo - Blindern;SN18700;18.05.2015;0;3,4;15,1;6
Oslo - Blindern;SN18700;19.05.2015;1;5,8;11,5;6,1
Oslo - Blindern;SN18700;20.05.2015;4,6;6,3;14,5;6,5
Oslo - Blindern;SN18700;21.05.2015;0;3,7;16,9;6,8
Oslo - Blindern;SN18700;22.05.2015;1;7,6;11,9;7,1
Oslo - Blindern;SN18700;23.05.2015;0,2;3,5;18,8;7,1
Oslo - Blindern;SN18700;24.05.2015;0;3,3;13,8;5,9
Oslo - Blindern;SN18700;25.05.2015;9,7;8,2;17,2;7,5
Oslo - Blindern;SN18700;26.05.2015;1,4;7,4;14,5;6,8
Oslo - Blindern;SN18700;27.05.2015;0;7,2;18,3;6,4
Oslo - Blindern;SN18700;28.05.2015;0;5,6;16,7;5,5
Oslo - Blindern;SN18700;29.05.2015;6,3;5,3;15,5;7,5
Oslo - Blindern;SN18700;30.05.2015;8,4;6,8;11,2;7,1
Oslo - Blindern;SN18700;31.05.2015;5,2;3,7;17,6;6,1
Oslo - Blindern;SN18700;01.06.2015;4,8;8,5;15,8;10,9
Oslo - Blindern;SN18700;02.06.2015;0;5,7;13;9
Oslo - Blindern;SN18700;03.06.2015;12,2;8,5;17,5;8,9
Oslo - Blindern;SN18700;04.06.2015;0;5,1;18,5;8,7
Oslo - Blindern;SN18700;05.06.2015;0;8,1;19,7;5,9
Oslo - Blindern;SN18700;06.06.2015;7,6;10,3;18,2;7,6
Oslo - Blindern;SN18700;07.06.2015;11,2;9,4;19,4;9,2
Oslo - Blindern;SN18700;08.06.2015;0,2;7,5;18,7;5,6
Oslo - Blindern;SN18700;09.06.2015;0,4;7,1;20,6;6,6
Oslo - Blindern;SN18700;10.06.2015;0;8,7;21,1;6,4
Oslo - Blindern;SN18700;11.06.2015;0,1;8,1;22,7;6,4
Oslo - Blindern;SN18700;12.06.2015;0;10,2;24,1;6,4
Oslo - Blindern;SN18700;13.06.2015;0;8,3;20,8;4,6
Oslo - Blindern;SN18700;14.06.2015;0;11;20,1;6,3
Oslo - Blindern;SN18700;15.06.2015;1,8;6,6;19,5;6
Oslo - Blindern;SN18700;16.06.2015;0;8,1;20,4;6,3
Oslo - Blindern;SN18700;17.06.2015;0;8,5;17,6;5,4
Oslo - Blindern;SN18700;18.06.2015;8,5;9,4;16;5,5
Oslo - Blindern;SN18700;19.06.2015;1,7;7,5;20,3;5,2
Oslo - Blindern;SN18700;20.06.2015;0;13,4;22,5;5,5
Oslo - Blindern;SN18700;21.06.2015;0;13;21,2;6,1
Oslo - Blindern;SN18700;22.06.2015;2,2;10,3;19,1;7,5
Oslo - Blindern;SN18700;23.06.2015;2,5;12,5;21,8;6,4
Oslo - Blindern;SN18700;24.06.2015;6,4;11,5;21,6;6,4
Oslo - Blindern;SN18700;25.06.2015;8,9;9,6;18,1;5,1
Oslo - Blindern;SN18700;26.06.2015;0;8,9;21,6;5,1
Oslo - Blindern;SN18700;27.06.2015;0;10,1;22;5,2
Oslo - Blindern;SN18700;28.06.2015;0;12,9;18,7;5,9
Oslo - Blindern;SN18700;29.06.2015;0,2;13,3;23,1;6,4
Oslo - Blindern;SN18700;30.06.2015;0;12,7;24,4;4,9
Oslo - Blindern;SN18700;01.07.2015;0;16,1;26,5;5,2
Oslo - Blindern;SN18700;02.07.2015;0;12,5;25,3;7,2
Oslo - Blindern;SN18700;03.07.2015;0;12,7;25,2;5,3
Oslo - Blindern;SN18700;04.07.2015;0;16,8;25,7;5,2
Oslo - Blindern;SN18700;05.07.2015;0;15,4;27;4,1
Oslo - Blindern;SN18700;06.07.2015;9,7;12,6;24,8;8,4
Oslo - Blindern;SN18700;07.07.2015;3,2;11,3;23,7;6,5
Oslo - Blindern;SN18700;08.07.2015;2,1;13,1;18,7;5,9
Oslo - Blindern;SN18700;09.07.2015;19,2;10,7;18,4;8,2
Oslo - Blindern;SN18700;10.07.2015;0;11,1;20,1;8,5
Oslo - Blindern;SN18700;11.07.2015;0;7,8;22,5;5,8
Oslo - Blindern;SN18700;12.07.2015;0;13,2;23,1;6,1
Oslo - Blindern;SN18700;13.07.2015;1,4;14,5;20,4;4,8
Oslo - Blindern;SN18700;14.07.2015;1,3;13,4;24;4,8
Oslo - Blindern;SN18700;15.07.2015;0;11,6;20,9;6
Oslo - Blindern;SN18700;16.07.2015;9,3;9,7;18,6;6,7
Oslo - Blindern;SN18700;17.07.2015;0;7,8;20,7;5,3
Oslo - Blindern;SN18700;18.07.2015;5,5;12,1;20,7;7,3
Oslo - Blindern;SN18700;19.07.2015;0,5;11,6;22,7;6,1
Oslo - Blindern;SN18700;20.07.2015;0;13,2;23,8;5,6
Oslo - Blindern;SN18700;21.07.2015;3,1;12,3;19,9;4,7
Oslo - Blindern;SN18700;22.07.2015;4,5;13,1;22,8;6,3
Oslo - Blindern;SN18700;23.07.2015;2;11;21,9;6,3
Oslo - Blindern;SN18700;24.07.2015;0;8,1;20,6;6,6
Oslo - Blindern;SN18700;25.07.2015;0;8,6;16,6;5,4
Oslo - Blindern;SN18700;26.07.2015;8,6;10,8;14,4;8
Oslo - Blindern;SN18700;27.07.2015;8,3;9,8;21;6,2
Oslo - Blindern;SN18700;28.07.2015;0,6;12,5;17,2;5,5
Oslo - Blindern;SN18700;29.07.2015;6,9;12,9;18;6,5
Oslo - Blindern;SN18700;30.07.2015;2,2;10,7;23;5,8
Oslo - Blindern;SN18700;31.07.2015;0,1;11,3;20,1;7,2
Oslo - Blindern;SN18700;01.08.2015;0,1;9;21,3;6,5
Oslo - Blindern;SN18700;02.08.2015;9,3;9,1;20;7,2
Oslo - Blindern;SN18700;03.08.2015;1,7;9,8;20,8;3,7
Oslo - Blindern;SN18700;04.08.2015;0;11,4;18,1;5,2
Oslo - Blindern;SN18700;05.08.2015;55,6;14,6;19,5;5,5
Oslo - Blindern;SN18700;06.08.2015;0,3;14,7;19,7;4,8
Oslo - Blindern;SN18700;07.08.2015;1;12,3;20,5;3,9
Oslo - Blindern;SN18700;08.08.2015;2,1;14,6;23,7;4,9
Oslo - Blindern;SN18700;09.08.2015;0;9,5;20,7;4,8
Oslo - Blindern;SN18700;10.08.2015;0;13;22,1;5,2
Oslo - Blindern;SN18700;11.08.2015;0;13,8;19,5;6,3
Oslo - Blindern;SN18700;12.08.2015;0,1;10,5;22,2;5,6
Oslo - Blindern;SN18700;13.08.2015;0;9;22,8;4,8
Oslo - Blindern;SN18700;14.08.2015;0;10,2;25,4;4,8
Oslo - Blindern;SN18700;15.08.2015;0;12,7;24,2;5,5
Oslo - Blindern;SN18700;16.08.2015;0;14,6;23,2;5,1
Oslo - Blindern;SN18700;17.08.2015;0;13,5;22,7;5,7
Oslo - Blindern;SN18700;18.08.2015;0;12,2;22,9;4,7
Oslo - Blindern;SN18700;19.08.2015;0;11,6;24;4,6
Oslo - Blindern;SN18700;20.08.2015;0;12,9;23,9;4,2
Oslo - Blindern;SN18700;21.08.2015;0;11,1;24,3;5,5
Oslo - Blindern;SN18700;22.08.2015;0;9,9;24,5;4,3
Oslo - Blindern;SN18700;23.08.2015;0;10,1;25,1;4,2
Oslo - Blindern;SN18700;24.08.2015;0;14,5;23;7,7
Oslo - Blindern;SN18700;25.08.2015;3,2;15,6;18,2;7,5
Oslo - Blindern;SN18700;26.08.2015;11,9;13,9;19,2;7,2
Oslo - Blindern;SN18700;27.08.2015;34,4;12,8;18,4;5,7
Oslo - Blindern;SN18700;28.08.2015;11;8;20,6;6,9
Oslo - Blindern;SN18700;29.08.2015;0;8,3;20,7;6,7
Oslo - Blindern;SN18700;30.08.2015;0;10,3;21,8;4,5
Oslo - Blindern;SN18700;31.08.2015;0;11,5;21,2;3,1
Oslo - Blindern;SN18700;01.09.2015;0,1;12,2;16,6;8
Oslo - Blindern;SN18700;02.09.2015;28,1;11,2;14,9;10
Oslo - Blindern;SN18700;03.09.2015;26,1;11;18,2;6,4
Oslo - Blindern;SN18700;04.09.2015;3,8;7,8;18;5,6
Oslo - Blindern;SN18700;05.09.2015;4,7;10,4;13,8;8,5
Oslo - Blindern;SN18700;06.09.2015;2,6;8,5;15,7;7,8
Oslo - Blindern;SN18700;07.09.2015;0;5,6;19,4;6,5
Oslo - Blindern;SN18700;08.09.2015;0;8,5;20,3;5,5
Oslo - Blindern;SN18700;09.09.2015;0,2;8,9;21,1;5,4
Oslo - Blindern;SN18700;10.09.2015;0;8,4;21,2;3
Oslo - Blindern;SN18700;11.09.2015;0;10,7;19,4;4,3
Oslo - Blindern;SN18700;12.09.2015;0;11,6;16,2;5,2
Oslo - Blindern;SN18700;13.09.2015;0,9;12,2;16,5;6
Oslo - Blindern;SN18700;14.09.2015;1,7;12,9;16,3;6,4
Oslo - Blindern;SN18700;15.09.2015;3,3;11,5;15,9;7,7
Oslo - Blindern;SN18700;16.09.2015;20,6;9,1;13,2;5,7
Oslo - Blindern;SN18700;17.09.2015;12,3;12,1;16,2;6,9
Oslo - Blindern;SN18700;18.09.2015;39,2;12,9;19,3;3,7
Oslo - Blindern;SN18700;19.09.2015;1;8,5;18,7;3,9
Oslo - Blindern;SN18700;20.09.2015;0,3;6,5;15,3;7
Oslo - Blindern;SN18700;21.09.2015;0,7;8,9;13,9;3,6
Oslo - Blindern;SN18700;22.09.2015;0;8,5;12;3,7
Oslo - Blindern;SN18700;23.09.2015;5,4;10,9;14;2,6
Oslo - Blindern;SN18700;24.09.2015;0,1;12;16,5;5,2
Oslo - Blindern;SN18700;25.09.2015;7,2;7,7;15,5;6,4
Oslo - Blindern;SN18700;26.09.2015;0;3,8;15,7;4,3
Oslo - Blindern;SN18700;27.09.2015;0;3;16,8;4,4
Oslo - Blindern;SN18700;28.09.2015;0;5,6;16,2;3,4
Oslo - Blindern;SN18700;29.09.2015;0;5,2;16,7;5,1
Oslo - Blindern;SN18700;30.09.2015;0;6,8;18,9;3,1
Oslo - Blindern;SN18700;01.10.2015;0;7,2;15,3;5,8
Oslo - Blindern;SN18700;02.10.2015;0;5,5;16,7;7,7
Oslo - Blindern;SN18700;03.10.2015;0;4,4;14,8;5,1
Oslo - Blindern;SN18700;04.10.2015;0;6,7;15;3
Oslo - Blindern;SN18700;05.10.2015;0;7,4;13,5;5,9
Oslo - Blindern;SN18700;06.10.2015;0;6,6;11,7;5,4
Oslo - Blindern;SN18700;07.10.2015;0;5,9;9,6;5,8
Oslo - Blindern;SN18700;08.10.2015;0;5,6;9,9;4,5
Oslo - Blindern;SN18700;09.10.2015;0;6,3;9,1;3,1
Oslo - Blindern;SN18700;10.10.2015;0;6;11,5;2,6
Oslo - Blindern;SN18700;11.10.2015;0;7,7;12,4;3,1
Oslo - Blindern;SN18700;12.10.2015;0,3;6,7;10,3;2,8
Oslo - Blindern;SN18700;13.10.2015;0;3,7;11,3;2,8
Oslo - Blindern;SN18700;14.10.2015;0;-0,5;10,6;3,2
Oslo - Blindern;SN18700;15.10.2015;0;-0,8;11;3
Oslo - Blindern;SN18700;16.10.2015;0;-0,5;8,1;3,8
Oslo - Blindern;SN18700;17.10.2015;0;-2,3;9,9;2,8
Oslo - Blindern;SN18700;18.10.2015;0;-0,3;12,3;3,1
Oslo - Blindern;SN18700;19.10.2015;0;0,9;11,3;3,3
Oslo - Blindern;SN18700;20.10.2015;0,5;3,5;7,4;3,1
Oslo - Blindern;SN18700;21.10.2015;0,2;3,6;10;6
Oslo - Blindern;SN18700;22.10.2015;5,1;7,5;15;6,9
Oslo - Blindern;SN18700;23.10.2015;0,1;6,8;15,9;5,8
Oslo - Blindern;SN18700;24.10.2015;0;1,7;10,7;6
Oslo - Blindern;SN18700;25.10.2015;1,5;4,7;12;7,2
Oslo - Blindern;SN18700;26.10.2015;0;3,5;9,4;3,6
Oslo - Blindern;SN18700;27.10.2015;0;1,4;9,8;3,9
Oslo - Blindern;SN18700;28.10.2015;0;5,3;7,2;4,1
Oslo - Blindern;SN18700;29.10.2015;0;5,1;6,9;4,4
Oslo - Blindern;SN18700;30.10.2015;0;5,6;7,7;4,5
Oslo - Blindern;SN18700;31.10.2015;0,6;5,4;9,6;4,8
Oslo - Blindern;SN18700;01.11.2015;0;6,8;9,5;5,9
Oslo - Blindern;SN18700;02.11.2015;0;4;12,3;2,2
Oslo - Blindern;SN18700;03.11.2015;0;3,4;9,2;3,2
Oslo - Blindern;SN18700;04.11.2015;0,1;4,1;8,8;3,2
Oslo - Blindern;SN18700;05.11.2015;0;3,1;5,4;4,7
Oslo - Blindern;SN18700;06.11.2015;0,5;5,4;7,8;3,2
Oslo - Blindern;SN18700;07.11.2015;20,9;7,7;12,2;2,7
Oslo - Blindern;SN18700;08.11.2015;8,2;3,7;10,6;7,4
Oslo - Blindern;SN18700;09.11.2015;4,4;4,9;8,8;7,3
Oslo - Blindern;SN18700;10.11.2015;0;2,9;8,1;3,7
Oslo - Blindern;SN18700;11.11.2015;0;0,3;6,7;3,2
Oslo - Blindern;SN18700;12.11.2015;0,3;3,1;8,4;3,3
Oslo - Blindern;SN18700;13.11.2015;1,5;1,7;11,2;7,6
Oslo - Blindern;SN18700;14.11.2015;1;1,7;6,1;4,8
Oslo - Blindern;SN18700;15.11.2015;0;-0,8;7,1;3,9
Oslo - Blindern;SN18700;16.11.2015;0;-1,1;3,7;5,9
Oslo - Blindern;SN18700;17.11.2015;7,5;0,5;5,3;3
Oslo - Blindern;SN18700;18.11.2015;0;0,2;4,6;3,1
Oslo - Blindern;SN18700;19.11.2015;0;-0,8;0,7;7,7
Oslo - Blindern;SN18700;20.11.2015;0;-4,7;0,6;3,3
Oslo - Blindern;SN18700;21.11.2015;0;-4,7;-1,5;5,1
Oslo - Blindern;SN18700;22.11.2015;0;-5,6;1,1;5,3
Oslo - Blindern;SN18700;23.11.2015;0;-7,7;-2;3,1
Oslo - Blindern;SN18700;24.11.2015;1,4;-4,1;5,2;2,5
Oslo - Blindern;SN18700;25.11.2015;13,4;0,1;5,1;2,7
Oslo - Blindern;SN18700;26.11.2015;0,1;-3,7;0,6;2,2
Oslo - Blindern;SN18700;27.11.2015;0;0,2;9,6;7,1
Oslo - Blindern;SN18700;28.11.2015;7,8;0;10;8,2
Oslo - Blindern;SN18700;29.11.2015;4,8;-0,8;5,7;8,3
Oslo - Blindern;SN18700;30.11.2015;3,6;-2,8;5,6;5,5
Oslo - Blindern;SN18700;01.12.2015;0;-2;5,9;8,7
Oslo - Blindern;SN18700;02.12.2015;0;-1;3,5;3,9
Oslo - Blindern;SN18700;03.12.2015;1,6;-0,6;4,9;5,7
Oslo - Blindern;SN18700;04.12.2015;9,6;-0,2;6,7;7,9
Oslo - Blindern;SN18700;05.12.2015;11,7;1,6;10,4;8
Oslo - Blindern;SN18700;06.12.2015;0;4;10,2;7,6
Oslo - Blindern;SN18700;07.12.2015;0;-0,6;8;7,5
Oslo - Blindern;SN18700;08.12.2015;0;-0,5;8,2;6,1
Oslo - Blindern;SN18700;09.12.2015;4,7;3,7;8,6;6,3
Oslo - Blindern;SN18700;10.12.2015;0;3,7;9,1;8,6
Oslo - Blindern;SN18700;11.12.2015;0;-1,6;4,4;6,4
Oslo - Blindern;SN18700;12.12.2015;0;-3,6;1,3;3
Oslo - Blindern;SN18700;13.12.2015;0;-3,5;0,9;3
Oslo - Blindern;SN18700;14.12.2015;0;-7,2;-3,3;3,2
Oslo - Blindern;SN18700;15.12.2015;0;-8,9;-4,7;2,8
Oslo - Blindern;SN18700;16.12.2015;0,1;-6,3;-1,6;2,5
Oslo - Blindern;SN18700;17.12.2015;4,9;-1,6;1,2;3,2
Oslo - Blindern;SN18700;18.12.2015;6,7;1,1;5,4;4,5
Oslo - Blindern;SN18700;19.12.2015;0;4,6;7;6,2
Oslo - Blindern;SN18700;20.12.2015;3,1;6,7;9,5;8,1
Oslo - Blindern;SN18700;21.12.2015;0;6;8,2;6,8
Oslo - Blindern;SN18700;22.12.2015;0;0,9;7,2;4,5
Oslo - Blindern;SN18700;23.12.2015;6,3;-0,1;7,4;4,8
Oslo - Blindern;SN18700;24.12.2015;0;2,2;7,9;9,1
Oslo - Blindern;SN18700;25.12.2015;1;2,4;8;9,6
Oslo - Blindern;SN18700;26.12.2015;0;-4;6,3;8
Oslo - Blindern;SN18700;27.12.2015;0;-5,6;-2,4;9,7
Oslo - Blindern;SN18700;28.12.2015;4,1;-3,3;-1,1;7,4
Oslo - Blindern;SN18700;29.12.2015;0,1;-1,5;-0,2;4,1
Oslo - Blindern;SN18700;30.12.2015;0,9;-0,5;2,7;6,3
Oslo - Blindern;SN18700;31.12.2015;2,4;0,1;2,8;5,7
Oslo - Blindern;SN18700;01.01.2016;6,1;0,1;2,5;5,1
Oslo - Blindern;SN18700;02.01.2016;3,9;-4,1;2,1;6,5
Oslo - Blindern;SN18700;03.01.2016;0,1;-6,3;-4,1;5,5
Oslo - Blindern;SN18700;04.01.2016;0;-7,9;-6,2;5,7
Oslo - Blindern;SN18700;05.01.2016;0;-8,4;-6,3;6,2
Oslo - Blindern;SN18700;06.01.2016;0;-12,4;-7,3;4,5
Oslo - Blindern;SN18700;07.01.2016;0;-13,1;-11,2;5,3
Oslo - Blindern;SN18700;08.01.2016;1,2;-11,3;-7,8;7,5
Oslo - Blindern;SN18700;09.01.2016;0;-9,4;-8,3;7,1
Oslo - Blindern;SN18700;10.01.2016;4,3;-9,4;-2,6;8,8
Oslo - Blindern;SN18700;11.01.2016;8,6;-2,8;-0,9;7,1
Oslo - Blindern;SN18700;12.01.2016;1,1;-3,8;-1,2;7,4
Oslo - Blindern;SN18700;13.01.2016;0,8;-10,3;-3,8;6,4
Oslo - Blindern;SN18700;14.01.2016;0;-14,2;-8;4,7
Oslo - Blindern;SN18700;15.01.2016;0;-16,4;-9,7;4
Oslo - Blindern;SN18700;16.01.2016;2,3;-12,2;-7,1;4,3
Oslo - Blindern;SN18700;17.01.2016;0;-14,5;-7,6;2,9
Oslo - Blindern;SN18700;18.01.2016;0;-14,3;-8,7;2,6
Oslo - Blindern;SN18700;19.01.2016;0;-13,8;-8,2;2,3
Oslo - Blindern;SN18700;20.01.2016;0;-13,6;-5,2;1,9
Oslo - Blindern;SN18700;21.01.2016;0;-13,4;-5,8;2,8
Oslo - Blindern;SN18700;22.01.2016;0;-15,8;-7,4;2,8
Oslo - Blindern;SN18700;23.01.2016;3,2;-7,4;-1,6;3,1
Oslo - Blindern;SN18700;24.01.2016;0,4;-3,4;-1,6;3
Oslo - Blindern;SN18700;25.01.2016;0,2;-2,8;-0,1;3,8
Oslo - Blindern;SN18700;26.01.2016;0,7;-0,6;3,7;5,2
Oslo - Blindern;SN18700;27.01.2016;0,6;2,9;4,4;6,9
Oslo - Blindern;SN18700;28.01.2016;9;1,2;5,9;8,7
Oslo - Blindern;SN18700;29.01.2016;0;0,4;7,3;11
Oslo - Blindern;SN18700;30.01.2016;0,5;1,4;4,5;8,6
Oslo - Blindern;SN18700;31.01.2016;0;-1,4;4,5;5,3
Oslo - Blindern;SN18700;01.02.2016;0;-4,2;1;4,8
Oslo - Blindern;SN18700;02.02.2016;3,8;-0,7;3,4;4,7
Oslo - Blindern;SN18700;03.02.2016;1,3;-1,9;4;8,5
Oslo - Blindern;SN18700;04.02.2016;0;-4,9;4,5;3,9
Oslo - Blindern;SN18700;05.02.2016;0;-3,7;1,2;3,6
Oslo - Blindern;SN18700;06.02.2016;8;-1;4,7;6
Oslo - Blindern;SN18700;07.02.2016;4,9;2,7;5,4;6,9
Oslo - Blindern;SN18700;08.02.2016;2,1;0,6;5;8
Oslo - Blindern;SN18700;09.02.2016;19,5;1,8;5,5;5,4
Oslo - Blindern;SN18700;10.02.2016;0,9;1,3;3,4;4
Oslo - Blindern;SN18700;11.02.2016;0;-1;2,6;8,7
Oslo - Blindern;SN18700;12.02.2016;0;-3,2;-0,6;8,9
Oslo - Blindern;SN18700;13.02.2016;0,3;-4,1;-1,8;4,2
Oslo - Blindern;SN18700;14.02.2016;0;-7,8;-2,5;3,9
Oslo - Blindern;SN18700;15.02.2016;0;-10,6;2,4;5,2
Oslo - Blindern;SN18700;16.02.2016;0;-9,5;-1,2;3,2
Oslo - Blindern;SN18700;17.02.2016;0;-2,8;2,6;8
Oslo - Blindern;SN18700;18.02.2016;0;-3,9;0,4;5,1
Oslo - Blindern;SN18700;19.02.2016;0;-3,3;0,5;2,9
Oslo - Blindern;SN18700;20.02.2016;2,1;-0,1;1,5;7
Oslo - Blindern;SN18700;21.02.2016;7,5;-2,4;4,1;3
Oslo - Blindern;SN18700;22.02.2016;0;-4,7;2,2;3,3
Oslo - Blindern;SN18700;23.02.2016;0;-7,3;3;4,5
Oslo - Blindern;SN18700;24.02.2016;0;-5;4,9;3,1
Oslo - Blindern;SN18700;25.02.2016;0;-7,2;4,2;2,7
Oslo - Blindern;SN18700;26.02.2016;0;-2,7;7,1;2,9
Oslo - Blindern;SN18700;27.02.2016;0;-6,7;5,6;2,5
Oslo - Blindern;SN18700;28.02.2016;0;-6,8;5,4;2,7
Oslo - Blindern;SN18700;29.02.2016;0;-7,4;-0,2;4,6
Oslo - Blindern;SN18700;01.03.2016;0;-1,1;0,4;6,1
Oslo - Blindern;SN18700;02.03.2016;2,6;-1,5;0,3;6,7
Oslo - Blindern;SN18700;03.03.2016;10,9;-1,4;2,8;9
Oslo - Blindern;SN18700;04.03.2016;3,5;0,2;1,8;5,3
Oslo - Blindern;SN18700;05.03.2016;6,1;0,3;2,2;4,7
Oslo - Blindern;SN18700;06.03.2016;0,8;-0,6;1,9;5,4
Oslo - Blindern;SN18700;07.03.2016;5,6;-0,9;3,3;6,9
Oslo - Blindern;SN18700;08.03.2016;3,1;-3,6;5,4;5,2
Oslo - Blindern;SN18700;09.03.2016;0;0,2;4,2;3,6
Oslo - Blindern;SN18700;10.03.2016;0,1;1,2;3,9;3,1
