Navn;Stasjon;Tid(norsk normaltid);Maksimumstemperatur (døgn);Minimumstemperatur (døgn);Nedbør (døgn);Høyeste middelvind (døgn);Snødybde
Oslo - Blindern;SN18700;01.01.2015;4.1;-200.0;0.0;2.8;9
Oslo - Blindern;SN18700;02.01.2015;6.5;2.9;0.7;8.9;4
Oslo - Blindern;SN18700;03.01.2015;4.5;-0.2;0.0;7.0;1
Oslo - Blindern;SN18700;04.01.2015;2.7;-;0.0;6.8;1
Oslo - Blindern;SN18700;05.01.2015;0.3;-4.4;0.0;2.7;1
Oslo - Blindern;SN18700;06.01.2015;3.4;-0.3;1.6;6.0;0
Oslo - Blindern;SN18700;07.01.2015;4.1;0.6;-;7.5;0
Oslo - Blindern;SN18700;08.01.2015;5.8;0.2;3.7;6.6;0
Oslo - Blindern;SN18700;09.01.2015;0.7;-2.9;0.0;4.7;0
Oslo - Blindern;SN18700;10.01.2015;1.8;-4.4;2.2;4.6;3
Oslo - Blindern;SN18700;11.01.2015;3.7;-5.4;11.8;10.8;15
Oslo - Blindern;SN18700;12.01.2015;0.2;-6.0;-200.0;400.5;22
Oslo - Blindern;SN18700;13.01.2015;3.7;-2.8;0.0;6.2;-
Oslo - Blindern;SN18700;14.01.2015;1.0;400.5;-;-200.0;18
Oslo - Blindern;SN18700;15.01.2015;2.6;-301.0;0.3;6.5;18
Oslo - Blindern;SN18700;16.01.2015;5.7;0.8;18.4;8.7;15
Oslo - Blindern;SN18700;17.01.2015;3.6;-1.3;0.2;8.1;12
Oslo - Blindern;SN18700;18.01.2015;1.3;-2.9;0.0;3.3;11
Oslo - Blindern;SN18700;19.01.2015;-0.6;-3.7;420.3;-;10
Oslo - Blindern;SN18700;20.01.2015;-200.0;-3.0;5.6;7.3;22
Oslo - Blindern;SN18700;21.01.2015;-0.4;-1.6;3.2;6.6;25
Oslo - Blindern;SN18700;22.01.2015;-1.4;-5.0;5.4;6.6;28
Oslo - Blindern;SN18700;23.01.2015;-5.1;-12.2;0.4;3.4;28
Oslo - Blindern;SN18700;24.01.2015;2.0;-5.1;2.9;6.7;26
Oslo - Blindern;SN18700;25.01.2015;0.6;-8.3;6.4;-;27
Oslo - Blindern;SN18700;26.01.2015;3.6;-3.8;7.7;2.7;27
Oslo - Blindern;SN18700;27.01.2015;0.9;-3.9;6.2;3.4;24
Oslo - Blindern;SN18700;28.01.2015;3.9;-1.7;1.8;-500.0;24
Oslo - Blindern;SN18700;29.01.2015;2.7;0.4;8.7;4.9;22
Oslo - Blindern;SN18700;30.01.2015;1.4;-1.0;2.0;5.0;25
Oslo - Blindern;SN18700;31.01.2015;0.9;-0.9;-301.0;6.5;24
Oslo - Blindern;SN18700;01.02.2015;-0.3;-2.5;0.4;7.8;23
Oslo - Blindern;SN18700;02.02.2015;-2.1;-3.9;-;5.6;22
Oslo - Blindern;SN18700;03.02.2015;-;-5.4;0.5;4.3;21
Oslo - Blindern;SN18700;04.02.2015;-2.6;-8.6;0.0;-200.0;21
Oslo - Blindern;SN18700;05.02.2015;-5.1;-12.8;0.0;-500.0;21
Oslo - Blindern;SN18700;06.02.2015;-0.2;-6.7;0.0;2.1;21
Oslo - Blindern;SN18700;07.02.2015;220.3;-7.0;0.0;11.6;21
Oslo - Blindern;SN18700;08.02.2015;420.3;-6.3;0.0;6.0;-200.0
Oslo - Blindern;SN18700;09.02.2015;8.4;-;-;200.5;20
Oslo - Blindern;SN18700;10.02.2015;8.4;0.3;0.0;5.4;19
Oslo - Blindern;SN18700;11.02.2015;4.2;-1.9;0.0;-;19
Oslo - Blindern;SN18700;12.02.2015;3.1;-1.3;0.0;3.6;19
Oslo - Blindern;SN18700;13.02.2015;1.9;-1.7;0.0;4.4;19
Oslo - Blindern;SN18700;14.02.2015;3.3;0.6;-;3.7;19
Oslo - Blindern;SN18700;15.02.2015;1.0;-0.1;0.0;5.0;18
Oslo - Blindern;SN18700;16.02.2015;0.8;-200.0;0.0;-;19
Oslo - Blindern;SN18700;17.02.2015;3.1;-0.5;1.5;-200.0;18
Oslo - Blindern;SN18700;18.02.2015;5.5;1.3;1.4;6.4;18
Oslo - Blindern;SN18700;19.02.2015;6.1;1.8;0.0;6.2;18
Oslo - Blindern;SN18700;20.02.2015;6.7;2.1;0.0;5.9;16
Oslo - Blindern;SN18700;21.02.2015;3.9;-0.5;200.5;420.3;15
Oslo - Blindern;SN18700;22.02.2015;4.9;-3.1;0.0;4.6;14
Oslo - Blindern;SN18700;23.02.2015;2.3;-1.9;3.8;7.5;15
Oslo - Blindern;SN18700;24.02.2015;-;1.0;6.7;5.6;17
Oslo - Blindern;SN18700;25.02.2015;5.1;1.7;6.5;-;15
Oslo - Blindern;SN18700;26.02.2015;3.3;-;0.0;8.2;13
Oslo - Blindern;SN18700;27.02.2015;4.3;0.7;4.2;8.0;12
Oslo - Blindern;SN18700;28.02.2015;3.6;-2.6;2.2;7.2;12
Oslo - Blindern;SN18700;01.03.2015;3.5;0.3;2.4;8.3;0
Oslo - Blindern;SN18700;02.03.2015;6.4;2.7;8.0;5.7;8
Oslo - Blindern;SN18700;03.03.2015;5.3;0.6;1.8;4.7;0
Oslo - Blindern;SN18700;04.03.2015;5.8;-4.8;0.1;4.4;0
Oslo - Blindern;SN18700;05.03.2015;4.7;-4.1;0.0;6.3;-201.0
Oslo - Blindern;SN18700;06.03.2015;9.7;2.5;0.0;-201.0;0
Oslo - Blindern;SN18700;07.03.2015;7.6;3.6;0.0;200.5;-
Oslo - Blindern;SN18700;08.03.2015;8.3;5.5;0.0;7.4;0
Oslo - Blindern;SN18700;09.03.2015;9.3;-0.1;0.0;5.9;0
Oslo - Blindern;SN18700;10.03.2015;13.2;-;1.2;-201.0;0
Oslo - Blindern;SN18700;11.03.2015;10.4;3.3;0.0;6.2;0
Oslo - Blindern;SN18700;12.03.2015;10.4;-0.1;-201.0;3.4;0
Oslo - Blindern;SN18700;13.03.2015;9.3;-;0.0;3.7;0
Oslo - Blindern;SN18700;14.03.2015;9.8;-4.2;0.0;5.4;0
Oslo - Blindern;SN18700;15.03.2015;8.8;-0.1;0.0;5.7;0
Oslo - Blindern;SN18700;16.03.2015;6.4;3.6;0.0;5.0;0
Oslo - Blindern;SN18700;17.03.2015;7.9;3.1;-;5.3;0
Oslo - Blindern;SN18700;18.03.2015;6.5;4.0;0.0;4.7;0
Oslo - Blindern;SN18700;19.03.2015;-;0.5;2.8;3.0;-
Oslo - Blindern;SN18700;20.03.2015;-500.0;1.9;0.9;2.9;-
Oslo - Blindern;SN18700;21.03.2015;4.8;-1.6;1.4;8.5;-
Oslo - Blindern;SN18700;22.03.2015;1.5;220.3;0.0;6.2;0
Oslo - Blindern;SN18700;23.03.2015;9.0;1.3;3.0;6.6;0
Oslo - Blindern;SN18700;24.03.2015;11.1;-0.5;0.0;6.2;0
Oslo - Blindern;SN18700;25.03.2015;6.8;-200.0;0.1;-;0
Oslo - Blindern;SN18700;26.03.2015;1.7;-2.9;-;8.9;6
Oslo - Blindern;SN18700;27.03.2015;4.4;1.3;18.4;3.6;18
Oslo - Blindern;SN18700;28.03.2015;7.5;-1.1;0.2;6.5;12
